student,gender_group,courses
1,Man,Statistics;
2,Woman+,Statistics;
3,Woman+,Applied mathematics;
4,Woman+,Pure mathematics;
5,Woman+,Pure mathematics;Statistics;
6,Woman+,Statistics;Applied mathematics;Operational research;
7,Man,Pure mathematics;Applied mathematics;Operational research;
8,Man,Statistics;Applied mathematics;Pure mathematics;
9,NA,Pure mathematics;
10,Man,Statistics;Applied mathematics;
11,Woman+,Pure mathematics;Applied mathematics;Statistics;Operational research;
12,Woman+,Statistics;
13,Woman+,Applied mathematics;
14,Man,Statistics;
15,Woman+,Applied mathematics;
16,Man,Pure mathematics;
17,Man,Pure mathematics;
18,Man,Applied mathematics;Statistics;
19,Woman+,Pure mathematics;
20,Man,Operational research;Applied mathematics;
21,Woman+,Applied mathematics;Statistics;Operational research;
22,Woman+,Pure mathematics;Applied mathematics;
23,Woman+,Applied mathematics;Pure mathematics;Statistics;
24,Woman+,Applied mathematics;Statistics;
25,Man,Pure mathematics;
26,Woman+,Pure mathematics;Applied mathematics;
27,Woman+,Pure mathematics;Applied mathematics;
28,Woman+,Applied mathematics;Statistics;Operational research;
29,NA,Pure mathematics;
30,Man,Applied mathematics;
31,Man,Applied mathematics;Operational research;Pure mathematics;Statistics;
32,Man,Applied mathematics;Maths education;
33,Woman+,Pure mathematics;Operational research;
34,Man,Statistics;Operational research;
35,Man,Applied mathematics;Pure mathematics;
36,Man,Pure mathematics;Statistics;
37,Woman+,Statistics;Operational research;
38,Man,Pure mathematics;
39,Woman+,Pure mathematics;
40,Man,Pure mathematics;Applied mathematics;Statistics;
41,Woman+,Pure mathematics;
42,Man,Pure mathematics;
43,Man,Pure mathematics;
44,Man,Pure mathematics;Applied mathematics;
45,Man,Statistics;Operational research;Applied mathematics;
46,Woman+,Statistics;Pure mathematics;Applied mathematics;
47,Woman+,Pure mathematics;Applied mathematics;
48,Woman+,Applied mathematics;Pure mathematics;
49,Woman+,Applied mathematics;Statistics;Operational research;
50,Man,Statistics;Operational research;
51,Man,Pure mathematics;Applied mathematics;Statistics;
52,Woman+,Applied mathematics;Statistics;Operational research;
53,Man,Pure mathematics;
54,Man,Pure mathematics;
55,Man,Pure mathematics;Statistics;
56,Man,Statistics;
57,Man,Pure mathematics;Applied mathematics;
58,Woman+,Statistics;Operational research;Applied mathematics;
59,Man,Pure mathematics;Applied mathematics;Operational research;
60,Man,Pure mathematics;
61,Man,Pure mathematics;Applied mathematics;
62,Man,Pure mathematics;
63,Man,Pure mathematics;
64,Man,Pure mathematics;
65,Woman+,Operational research;Applied mathematics;Statistics;
66,Woman+,Pure mathematics;Applied mathematics;Operational research;
67,Man,Applied mathematics;Statistics;
68,Man,Pure mathematics;
69,Woman+,No;
70,Man,Pure mathematics;Applied mathematics;Operational research;
71,Man,Pure mathematics;Statistics;Operational research;
72,Man,Statistics;
73,Man,Applied mathematics;Statistics;Operational research;
74,NA,Statistics;
75,Man,Applied mathematics;Statistics;
76,Woman+,Operational research;
77,Woman+,Pure mathematics;Statistics;Applied mathematics;
78,Man,Statistics;Applied mathematics;
79,Man,Pure mathematics;
80,Man,Pure mathematics;Applied mathematics;Statistics;
81,Woman+,Pure mathematics;Applied mathematics;Operational research;
82,Man,Pure mathematics;Applied mathematics;
83,Woman+,Pure mathematics;
84,Man,Pure mathematics;Statistics;
85,Woman+,Pure mathematics;
86,Man,Pure mathematics;Applied mathematics;
87,Woman+,Applied mathematics;Maths Education;
88,Woman+,Pure mathematics;
89,Woman+,Applied mathematics;Operational research;Statistics;Pure mathematics;
90,Man,Applied mathematics;Operational research;Pure mathematics;
91,Man,Pure mathematics;Statistics;Education;
92,Woman+,Applied mathematics;
93,Man,Applied mathematics;Statistics;
94,Woman+,Statistics;Operational research;Applied mathematics;
95,Man,Pure mathematics;
96,Woman+,Pure mathematics;Operational research;Applied mathematics;
97,Woman+,Pure mathematics;Operational research;
98,Woman+,Pure mathematics;
99,Man,Statistics;Applied mathematics;Operational research;
100,Woman+,Applied mathematics;Statistics;Operational research;
101,Man,Pure mathematics;Applied mathematics;Statistics;Operational research;
102,Man,Pure mathematics;Applied mathematics;Statistics;
103,Man,Pure mathematics;
104,Woman+,Statistics;
105,Woman+,Pure mathematics;Statistics;Operational research;Applied mathematics;
106,Woman+,Applied mathematics;Statistics;Operational research;
107,Man,Pure mathematics;Applied mathematics;
